"CastID","CastFilmID","CastActorID","CastCharacterName"
"192","38","90","Nearly Headless Nick"
"193","38","43","Professor Severus Snape"
"194","39","137","Jack Hall"
"195","39","138","Sam Hall"
"196","39","70","Terry Rapson"
"197","40","61","Captain Jack Sparrow"
"198","40","63","Will Turner"
"199","40","64","Elizabeth Swann"
"200","40","66","Governor Weatherby Swann"
"201","40","62","Captain Barbossa"
"202","41","1","Nathan Algren"
"203","41","83","Katsumoto"
"204","264","140","Kaneda"
"205","264","141","Capa"
"206","264","142","Corazon"
"207","19","141","Dr. Jonathan Crane"
"208","41","140","Ujio"
"209","41","139","Zebulon Gant"
"210","42","143","Captain Billy Tyne"
"211","42","144","Bobby Shatford"
"212","42","145","Dale 'Murph' Murphy"
"213","42","146","Linda Greenlaw"
"214","42","147","Bob Brown"
"215","43","1","Ethan Hunt"
"216","43","148","Owen Davian"
"217","43","108","Luther"
"218","43","149","Julia"
"219","43","150","Benji"
"220","43","127","Theodore Brassel"
"221","44","1","Ethan Hunt"
"222","44","108","Luther Stickell"
"223","44","40","John C. McCloy"
"224","45","151","Christian Slater"
"225","45","104","Gunnery Sergeant Hjelmstad"
"226","45","152","Sgt. Pete 'Ox' Anderson"
"227","46","153","Obi-Wan Kenobi"
"228","46","154","Senator Padme Amidala"
"229","46","155","Anakin Skywalker"
"230","46","85","Count Dooku"
"231","46","6","Mace Windu"
"232","46","156","Yoda"
"233","46","157","Chancellor Palpatine"
"234","46","158","Jango Fett"
"235","265","158","Jake Heke"
"236","265","159","Beth Heke"
"237","47","54","James P. ""Sulley"" Sullivan"
"238","47","160","Mike Wazowski"
"239","47","101","Randall Boggs"
"240","47","161","Henry J. Waternoose"
"241","47","156","Fungus"
"242","48","80","Qui-Gon Jinn"
"243","48","153","Obi-Wan Kenobi"
"244","48","154","Queen Padme Amidala"
"245","48","156","Yoda"
"246","48","157","Senator Palpatine"
"247","48","162","Darth Maul"
"248","48","163","C-3PO"
"249","48","164","R2-D2"
"250","48","6","Mace Windu"
"251","48","64","Sabé"
"252","49","153","Obi-Wan Kenobi"
"253","49","154","Padme"
"254","49","155","Anakin Skywalker"
"255","49","157","Supreme Chancellor Palpatine"
"256","49","6","Mace Windu"
"257","49","156","Yoda"
"258","49","163","C-3PO"
"259","49","164","R2-D2"
"260","49","85","Count Dooku"
"261","49","158","Commander Cody"
"262","49","165","Chewbacca"
"263","49","159","Nee Alavar"
"264","50","126","Persephone"
"265","50","127","Morpheus"
"266","50","128","Trinity"
"267","50","129","Neo"
"268","50","36","Agent Smith"
"269","51","86","James Bond"
"270","51","66","Elliot Carver"
"271","51","142","Wai Lin"
"272","51","166","Jack Wade"
"273","51","89","M"
"274","51","116","Q"
"275","51","92","Miss Moneypenny"
"276","52","143","Danny Ocean"
"277","52","75","Rusty Ryan"
"278","52","167","Reuben Tishkoff"
"279","52","121","Linus Caldwell"
"280","52","168","Terry Benedict"
"281","52","169","Tess Ocean"
"282","52","170","Basher Tarr"
"283","53","98","John McClane"
"284","53","171","Thomas Gabriel"
"285","53","175","Mai"
"286","54","172","Passepartout"
"287","54","173","Phileas Fogg"
"288","54","177","Lord Kelvin"
"289","54","174","Prince Hapi"
"290","54","175","Female Agent"
"291","54","176","Wong Fei Hung"
"292","54","102","Wilbur Wright"
"293","54","90","Grizzled Sergeant"
"294","54","178","Orville Wright"
"295","55","80","Godfrey de Ibelin"
"296","55","63","Balian de Ibelin"
"297","55","40","Reynald"
"298","55","179","Tiberias"
"299","55","180","King Baldwin"
"300","56","75","John Smith"
"301","56","53","Jane Smith"
"302","56","181","Eddie"
"303","56","149","Gwen"
"304","57","17","Howard Hughes"
"305","57","182","Katharine Hepburn"
"306","57","27","Ava Gardner"
"307","57","145","Noah Dietrich"
"308","57","30","Juan Trippe"
"309","57","70","Professor Fitz"
"310","57","183","Errol Flynn"
"311","57","184","Robert Gross"
"312","57","8","Roland Sweet"
"313","58","68","Muhammad Ali"
"314","58","106","Drew 'Bundini' Brown"
"315","58","29","Howard Cosell"
"316","59","182","Galadriel"
"317","59","63","Legolas Greenleaf"
"318","59","70","Bilbo Baggins"
"319","59","85","Saruman"
"320","59","13","Gollum"
"321","59","132","Gandalf the Grey"
"322","59","185","Aragorn"
"323","59","100","Arwen"
"324","59","36","Elrond"
"325","59","186","Frodo Baggins"
"326","60","68","Del Spooner"
"327","60","33","Farber"
"328","60","188","Susan Calvin"
"329","60","187","Dr. Alfred Lanning"
"330","61","189","James Bond"
"331","61","89","M"
"332","62","1","Chief John Anderton"
"333","62","190","Director Lamar Burgess"
"334","62","111","Danny Witwer"
"335","62","104","Dr. Solomon Eddie"
"336","63","174","The Terminator"
"337","63","191","Sarah Connor"
"338","63","192","John Connor"
"339","63","193","T-1000"
"340","64","87","Patience Phillips"
"341","65","38","Harry Potter"
"342","65","48","Ron Weasley"
"343","65","47","Hermione Granger"
"344","65","46","Rubeus Hagrid"
"345","65","194","Professor Gilderoy Lockhart"
"346","65","43","Professor Snape"
"347","65","135","Professor Albus Dumbledore"
"348","65","90","Nearly Headless Nick"
"349","66","195","Frank Lucas"
"350","66","117","Detective Richie Roberts"
"351","67","17","Danny Archer"
"352","67","196","Solomon Vandy"
"353","67","197","Maddy Bowen"
"354","67","198","Colonel Coetzee"
"355","68","117","Maximus"
"356","68","199","Commodus"
"357","68","200","Lucilla"
"358","68","201","Proximo"
"359","68","135","Marcus Aurelius"
"360","68","196","Juba"
"361","69","174","Harry Tasker"
"362","69","202","Helen Tasker"
"363","69","203","Albert Gibson"
"364","69","20","Simon"
"365","69","204","Spencer Trilby"
"366","69","205","Juno Skinner"
"367","69","206","Salim Abu Aziz"
"368","69","207","Dana Tasker"
"369","70","17","Amsterdam Vallon"
"370","70","208","Bill 'The Butcher' Cutting"
"371","70","209","Jenny Everdeane"
"372","70","177","Boss Tweed"
"373","70","145","Happy Jack"
"374","70","80","'Priest' Vallon"
"375","70","40","Walter 'Monk' McGinn"
"376","71","26","Eversmann"
"377","71","153","Grimes"
"378","71","31","McKnight"
"379","71","77","Hoot"
"380","72","98","Korben Dallas"
"381","72","41","Jean-Baptiste Emanuel Zorg"
"382","72","70","Father Vito Cornelius"
"383","72","210","Leeloo"
"384","72","211","Ruby Rhod"
"385","59","212","Boromir"
"386","73","212","Boromir"
"387","73","182","Galadriel"
"388","73","63","Legolas Greenleaf"
"389","73","70","Bilbo Baggins"
"390","73","132","Gandalf the White"
"391","73","185","Aragorn"
"392","73","13","Gollum"
"393","73","100","Arwen"
